word,sessions,clients
ប្រោស,70,57
បញ្ញើ,70,55
បដិការ,70,49
រឿង,70,65
ទាប,70,58
សន្តិសុខ,70,58
ផ្ទាល់,70,59
ទាំង,69,49
នេសាទ,69,60
សណ្ឋាគារ,69,58
ភេរវកម្ម,69,52
ប្រតិភូ,69,55
វេន,69,60
កម្រង,69,50
អមតៈ,69,52
ប្រសព្វ,69,62
អន្តរធាន,69,55
ឆ្ងល់,69,43
បញ្ជោរ,69,47
សំណាក់,69,61
ជឿនលឿន,69,56
កំហុស,69,59
ជ្រុះ,69,51
ស្និត,69,48
ប្រយុទ្ធ,69,52
អសុរោះ,69,62
ពូជសាសន៍,69,54
ព្រ័ត្រ,69,56
រំលេច,69,44
ខណៈ,69,53
មនោគមវិជ្ជា,69,55
បរទេស,69,58
តុល្យ,68,59
អធិដ្ឋាន,68,55
គោត្តនាម,68,59
ឱឡារិក,68,54
នឹក,68,56
ក្នាញ់,68,46
ឥដ្ឋ,68,56
បង្ក្រាប,68,47
ឆ្ពោះ,68,56
អក្សរសាស្ត្រ,68,53
ស្រា,68,63
វិនិច្ឆយ,68,61
យឺត,68,46
ម៉ឺន,68,43
ស្រកា,68,30
ក្លើ,68,51
សីតុណ្ហភាព,68,47
អនុក្រឹត្យ,68,55
គភ៌,68,54
មជ្ឈិម,68,54
គាត់,68,57
កង្វល់,68,50
រាប់,68,48
លទ្ធ,67,61
សឹង,67,56
ព្យាបាល,67,58
ស្វាមី,67,54
ទម្លុះ,67,44
សាធុ,67,56
ពាណិជ្ជ,67,58
រាត្រី,67,52
ព្រាហ្មណ៍,67,56
ល្បែង,67,57
វិចិត្រករ,67,39
ជញ្ជឹង,67,52
ដំណាក់,67,50
ភ្លាវ,67,26
ប្រសិទ្ធិ,67,65
ក្ដី,67,52
លំនៅ,67,56
បណ្ដុំ,67,54
ស៊ីវិល័យ,67,47
ក្រៃលែង,67,58
អនិច្ចកម្ម,67,60
គោរមងារ,67,55
វិធីសាស្ត្រ,67,49
អមត,67,54
នរិន្ទ,67,45
វិធាន,67,56
អាម៉េរិក,67,47
ច្រវាក់,67,57
ឌីជីថល,67,48
គន់,66,58
ត្រៀម,66,41
កាព្យ,66,55
តឹងរ៉ឹង,66,52
បល្ល័ង្ក,66,49
សសរទ្រូង,66,43
សុភាព,66,59
វិសេស,66,59
ចម្បាំង,66,53
មគ្គ,66,55
ទៀប,66,53
ពលិការ,66,49
នេសាទុបករណ៍,66,50
កុដិ,66,57
ល្ងង់,66,54
ភ្លាម,66,43
រាជ្យ,66,56
ទុរភិក្ស,66,49
យួរ,66,54
បរា,66,51
ថ្ងាស,66,41
ទៀត,66,54
ចម្រោះ,66,44
ព្យាករ,66,42
ពិគ្រោះ,66,58
ចំណាស់,66,50
ចំអក,66,39
ឈ្លើយ,66,50
រង្វាន់,66,53
កែន,65,51
ចំនួន,65,56
ហើរ,65,36
ទំពាំង,65,51
សកម្ម,65,54
ឈុត,65,55
បង្គោល,65,52
ពៀរ,65,51
បម្រែបម្រួល,65,50
ប្រតិភូកម្ម,65,38
សរីរាង្គ,65,51
យុថ្កា,65,40
ថ្វីបើ,65,8
មាតុភាព,65,52
ពាល,65,54
អាប់,65,53
ឆាក,65,55
មួម៉ៅ,65,49
ភារ,65,52
អនាថា,65,47
ផ្គូ,65,58
ឥស្សរិយយស,65,51
កាហ្វេ,65,46
សនិទានកម្ម,65,19
រារាំង,65,58
សៅហ្មង,65,54
សែន,65,52
បោះ,65,55
ឱនភាព,65,37
កុម្មុយនីស្ដ,65,33
ឯកភាព,65,49
ឧបជ្ឈាយ៍,65,59
ទេយ្យទាន,64,49
កូនសោ,64,48
វាយោ,64,57
ចំហៀង,64,50
សំយោគ,64,55
បាស,64,44
អនត្តា,64,45
ធ្នាក់,64,31
ផ្ដោត,64,45
ម៉ា,64,53
ដុំ,64,49
រំភើប,64,50
ប្រតិព័ទ្ធ,64,56
ប្រេះ,64,47
ចូរ,64,55
តូច,64,54
ផ្នែក,64,50
ថ្លៃថ្លា,64,47
កំផ្លៀង,64,42
ស្ថាបត្យករ,64,34
ជន្ម,64,54
ជោក,64,50
ខ្ចី,64,45
ខ្ទេច,64,45
ខ្មោច,64,57
អាទិទេព,64,55
ស្ថានការណ៍,64,51
សហការី,64,53
ផ្ដន្ទា,64,51
ឧបទ្រព,63,45
សត្យានុម័ត,63,49
បញ្ឆេះ,63,37
វាគ្មិន,63,53
ឡូយ,63,50
សាយ,63,54
សភាវៈ,63,47
ល្បឿន,63,30
សមាជិកា,63,47
និព្វាន,63,51
ចិញ្ច្រាំ,63,58
សោកនាដកម្ម,63,51
ត្រជាក់,63,52
ទំនើង,63,44
សូន,63,43
រវើរវាយ,63,44
គិរី,63,51
បាឋកថា,63,56
វេជ្ជបណ្ឌិត,63,53
ស្នោ,63,33
ព្យាករណ៍,63,47
ដំណាក់កាល,63,60
ទស្សនាទាន,63,48
អម្ចាស់,63,44
ហេង,63,49
អារម្ភកថា,63,54
សំចៃ,63,54
វ៉ែនតា,63,49
ចារកម្ម,62,42
ហឫទ័យ,62,46
អនុលោមភាព,62,51
ថ្លោះ,62,41
ឧក្រិដ្ឋ,62,52
នាយក,62,58
អកុសល,62,54
សមកាលកម្ម,62,49
តំណាល,62,47
ណាស់,62,51
កម្រាល,62,55
សុជាតា,62,36
អនិច្ចា,62,50
នឹងន,62,51
ពិរុទ្ធ,62,51
គ្រោះ,62,56
របង,62,50
ខ្ជាប់,62,54
អនុសញ្ញា,62,45
ខូច,62,49
សុរា,62,54
ល្បី,62,56
ទំពា,62,47
ប្រាជ្ញ,62,55
និក្ខេបបទ,62,44
ផ្ដាសាយ,62,52
ប្រហែស,62,49
ក្លែង,62,55
ក្រៀម,62,48
សហគ្រិន,62,51
ត្បូង,62,49
ត្រង់,62,54
ដៀល,62,48
អំណោយ,62,44
ជំនាន់,62,51
ធ្នូ,62,53
ចួន,62,49
អរិ,62,60
ខ្ទាត,62,48
វណ្ណៈ,62,54
រអ៊ូ,61,45
ទុរ្ភិក្ស,61,52
មហិទ្ធិឫទ្ធិ,61,45
វិទ្ធង្សនា,61,49
សុខដុមនីយកម្ម,61,50
ថ្មី,61,57
សម្រង់,61,43
ស្ដ,61,59
បែប,61,46
អន្ទះសា,61,36
កិត្តិនាម,61,51
អស់,61,56
លោភ,61,46
ច្រាស,61,50
សក្ការៈ,61,52
ពុះពារ,61,49
យេនឌ័រ,61,49
រំលោភ,61,36
កញ្ចប់,61,49
អត្ថ,61,53
បណ្ដោយ,61,48
ខ្ពង់ខ្ពស់,61,53
អតិរេក,61,55
ស្ងើច,61,35
អសារ,61,50
ឥរិយា,61,52
រួម,61,53
រណ្ដំ,61,51
រណ្ដៅ,61,47
ព្រឹទ្ធសភា,61,52
រៀបចំ,61,47
ទោះបី,61,45
អុជ,61,49
បាយ,61,51
សំបក,61,51
សុភា,61,44
សាន,60,32
បច្ចាមិត្ត,60,44
គូថ,60,48
ទ័ព,60,52
សម្រន់,60,54
គំរាមកំហែង,60,57
នមស្ការ,60,45
ឈ្លោះ,60,46
ធុន,60,48
អង្វរ,60,52
រុំ,60,50
គំនូរ,60,43
ល្បិច,60,46
ព្យញ្ជនៈ,60,50
អាស្រូវ,60,49
បរិច្ឆេទ,60,52
បន្សុទ្ធ,60,54
បង្អួច,60,35
សួគ៌,60,56
អើពើ,60,49
រ៉ែ,60,49
យានយន្ត,60,42
ក្រប,60,42
មនោ,60,54
ទំនង,60,47
បព្វតា,60,50
ខិតខំ,60,45
នក្ខត្តឫក្ស,60,49
បំភ្លៃ,60,48
ចាំបាច់,60,40
បុប្ផា,60,48
សូន្យ,60,52
តំណក់,60,42
ម្នាក់,60,52
វិចារណញ្ញាណ,60,46
អធិប,60,55
គំនុំ,60,38
ប្រាប់,59,45
អណ្ដែត,59,42
មាត្រដ្ឋាន,59,44
វិតក្ក,59,48
មករា,59,44
នគរបាល,59,47
ឧទ្យាន,59,53
ញាប់,59,36
ភាគី,59,52
ក្មេង,59,51
ចូលចិត្ត,59,52
ថ្វាយ,59,44
វិធី,59,47
គ្រឹះស្ថាន,59,53
នឹម,59,38
អាសូរ,59,48
ល្វឹងល្វើយ,59,51
សុគត,59,53
សុខុម,59,50
ស្ទាក់ស្ទើរ,59,44
និច្ច,59,21
បុព្វបទ,59,47
រោទ៍,59,52
ត្រកូល,59,46
វោហារ,59,52
សុទ្ធសាធ,59,45
សំណង,59,44
ភេសជ្ជ,59,49
ឧទាហរណ៍,59,51
ត្រចៀក,59,45
ខិត្តប័ណ្ណ,59,46
នាំ,59,51
ញុះញង់,59,49
ស្តា,59,50
និវាសនជន,59,39
រូបិយ,59,54
កញ្ចុះ,59,47
គ្រែ,59,38
ព្រឹត្តិបត្រ,59,41
អាល័យ,59,40
ច្រេស,59,19
ដូចម្ដេច,59,35
សន្ធានកម្ម,59,43
ទំនុក,58,46
កូនប្រសា,58,30
បាក់,58,43
ម៉ាស៊ីន,58,33
ស្រវា,58,39
ព្រម,58,48
បណ្ដាញ,58,50
ដំណក់,58,49
មកុដ,58,51
ប្រកាន់,58,47
អនាមិក,58,47
ទាន់,58,46
ខឹង,58,44
បំភាន់,58,52
ឥន្ធនៈ,58,45
ឃ្លា,58,52
ទោម,58,10
ជំនួស,58,45
រ៉ាប់រង,58,47
ក្រៀមក្រំ,58,51
ចល័ត,58,49
សិក្ខាសាលា,58,50
ភ្នាក់ងារ,58,50
ហ្វូង,58,53
រមែង,58,52
បង្កួយ,58,10
ខ្ចាត់ខ្ចាយ,58,30
ផ្ទៃ,58,47
ននៀល,58,43
អន្ទាក់,58,47
សិរ,58,43
រំពេច,58,36
អក្ខរ,58,50
ផ្សំ,58,51
ប៉ូលិស,58,44
ពិការ,58,53
វិនិយោគិន,58,53
សិក្ខា,58,52
មុត,58,48
សំពះ,58,49
អំណាន,58,50
ជុតិមា,58,45
ស្រះ,58,50
ជាន់,58,47
បង្គន់,58,34
បឹង,58,46
ធ្លាក់,58,44
គាប់,57,48
សំលៀង,57,41
ស្គែន,57,39
មរណៈ,57,53
ជម្លៀស,57,43
ស្វែងយល់,57,44
ពើង,57,19
ពិដោរ,57,47
សុក្រ,57,50
ជ្រុល,57,24
សមណ,57,41
ជិតស្និទ្ធ,57,45
ជាវ,57,42
រំពៃ,57,45
សាស្ត្រា,57,48
ទន្ទឹម,57,55
មហាក្សត្រ,57,45
ដណ្ដើម,57,42
រំហូរ,57,46
ញ័រ,57,42
ខ្សឹប,57,46
នេត្រា,57,45
រម្យ,57,48
ប្រាស,57,45
វេយ្យាករណ៍,57,46
ឃោសនា,57,52
ខ្នង,57,50
សម្បើម,57,46
បុរោហិត,57,44
កម្រើក,57,44
វាស,57,34
ខឿន,57,46
កម្ចី,57,43
សមិទ្ធិ,57,44
ខ្នាត,57,42
សម្រិត,57,42
មេឃ,57,53
មណ្ឌល,57,54
បន្ថយ,57,48
ដោះសា,57,41
សវនាការ,57,39
ក្រឡា,57,49
ខ្វៀន,57,5
លិង្គ,57,51
អរុណ,57,42
គោះ,57,36
កុម្ភៈ,57,45
អលង្ករណ៍,57,44
តម្ពក់,57,44
កិប,57,45
វណ្ណកម្ម,57,48
ប៉ុន្មាន,57,45
និយាមកា,57,43
អត្តសញ្ញាណជាតិ,56,31
ទំនួលខុសត្រូវ,56,47
លោភលន់,56,47
លៃលក,56,43
គល់,56,45
ប្រយោគ,56,44
សាធនភាព,56,7
ឯកសណ្ឋាន,56,48
លើក,56,53
ឆ្លុះបញ្ចាំង,56,51
ភ័ន្ត,56,47
រាក់ទាក់,56,40
វិភូ,56,41
សារៈ,56,50
ប៉ា,56,48
អវយវៈ,56,44
បណ្ដឹង,56,44
រពឹស,56,41
ជ្រញ់,56,16
រឹងរូស,56,44
ទូល,56,45
កំណាត់,56,44
មុតមាំ,56,49
ដាច់,56,44
បញ្ឆោត,56,48
ស៊េរី,56,44
ទាយ,56,47
លាង,56,49
មាយា,56,44
ឋានន្តរ,56,45
ភោគទ្រព្យ,56,50
លេណដ្ឋាន,56,46
បន្សល់,56,50
កក្កដា,56,49
ឆ្នើម,56,44
វាយតម្លៃ,56,44
បណ្ណសារ,56,47
រាស្ត្រ,56,53
ហត់,56,45
ជិះ,56,48
បង្រៀន,56,50
អូរ,56,49
ប៉ុណ្ណេះ,56,44
ភយន្តរាយ,55,47
ពិន័យ,55,44
អះអាង,55,37
ទ្រង់,55,42
សារប្រយោជន៍,55,42
សំអាង,55,44
មុសា,55,47
រ៉ឺម៉ក,55,49
ជាក់ស្ដែង,55,47
បាប,55,45
សំណើម,55,38
ព្រៃឈើ,55,38
អនុគ្រោះ,55,44
ផ្លាស់,55,49
ឈ្លាស,55,46
ពោល,55,45
ប្រតិកម្ម,55,46
បេតី,55,41
កៅស៊ូ,55,42
គោលនយោបាយ,55,38
ចៅក្រម,55,49
ថេរ,55,46
ម្ដង,55,42
សហព័ន្ធ,55,36
ធាតុ,55,48
ជំនុំ,55,45
ឆួល,55,38
លំដាប់,55,42
ខ្លោងទ្វារ,55,44
គ្រើម,55,38
ប្រក់,55,44
ភូត,55,45
បដិសព្ទ,54,43
ស្ដម្ភ,54,30
ព្រលឹម,54,38
សហករណ៍,54,39
បង្ហូរ,54,48
រលាក,54,43
បំណាច់,54,39
ចម្លាក់,54,46
មហន្ត,54,50
បដា,54,36
ឃុំ,54,45
មហាសាល,54,42
ភ្នាល់,54,48
ប៉ង,54,41
ឧទ្ទេស,54,38
ភតិសន្យា,54,41
ចៀរ,54,45
កសិណ,54,46
ទេសន្តរប្រវេសន៍,54,39
ឃុន,54,44
អាករ,54,36
ហ្លួង,54,49
ប្រណម្យ,54,49
ម្ដេច,54,41
ភាវៈ,54,44
ជាត,54,37
សមស្រប,54,44
បន្ទាប,54,43
សម្ទុះ,54,38
ផលប័ត្រ,54,46
ទណ្ឌិត,54,44
ថ្លា,54,46
ប្រជុំ,54,49
សោកសៅ,54,42
កំរោល,54,34
បូរាណ,54,44
ស្ងប់ស្ងាត់,54,24
ហិរញ្ញ,54,50
ពេទ្យ,54,39
វិការ,54,40
សករាជ,54,39
វិបុល,54,44
មៀន,54,46
បង់,54,49
ច្រណែន,54,47
ផ្នត់គំនិត,54,45
យោគយល់,54,50
បៀតបៀន,54,48
ធ្មឹង,54,23
ព្រុស,54,44
លក្ខណា,54,32
សារមន្ទីរ,54,44
ទេព្តា,54,46
លំអៀង,53,42
បាញ់,53,35
អន្ត,53,43
ការដ្ឋាន,53,47
ចងក្រង,53,47
ជាតិនិយម,53,38
ឆ្នៃ,53,45
ស្រពោន,53,45
អភិជន,53,46
ពោធិសត្វ,53,38
ឱជារស,53,43
បម្លាស់,53,45
សន្លប់,53,39
ស្បថ,53,39
អេះ,53,42
រមាស់,53,38
ចំណូល,53,46
ជ្រេ,53,36
បរលោក,53,46
ឈ្លក់,53,38
ជ្រក,53,41
គាស់,53,45
អត្ថបទ,53,46
បាលី,53,46
បរិការណ៍,53,45
សំណព្វ,53,44
បំប៉ន,53,45
អធិប្បាយ,53,48
កេង,53,45
ក្ស័យ,53,38
ងងឹត,53,43
ធ្មេច,53,35
សន្ទនីយ,53,42
អារក្ស,53,42
ត្បាញ,53,48
រាយមាយ,53,33
កក់,53,43
រិះ,53,46
សល់,53,37
ឃាត់,53,39
ទល់,53,38
បសុសត្វ,53,23
សេនាធិការ,53,39
ស្គាល់,53,43
រមណី,53,42
បរម,53,46
ទេវ,53,48
វិស្វកម្ម,53,43
រាល់,53,37
ទិសដៅ,53,39
យប់,53,39
ម៉ូដែល,53,44
ការិយាល័យ,53,41
កំហឹង,53,43
សំណាក,53,46
ក្លា,53,48
មូលប្បទានបត្រ,53,39
ស្អប់,52,43
អើយ,52,41
ប្រសិទ្ធផល,52,42
សារពើ,52,45
ស្ងៀម,52,36
លស់,52,40
ក្លិប,52,33
ជាមួយ,52,40
ម្ភៃ,52,38
ប្រេង,52,44
ខុស,52,46
ឃ្លាត,52,41
បង្គង,52,43
ដំបូល,52,44
តម្រា,52,44
ក្បត់,52,39
ម៉ាក,52,40
និទ្ទេស,52,38
ថ្មែ,52,13
ចង្អុល,52,43
ចោល,52,42
កណ្ដាល,52,48
ឆ្លាក់,52,42
ងាប់,52,31
ដឹកនាំ,52,44
ម្យ៉ាង,52,43
គុក,52,49
ត្រា,52,46
លើស,52,45
មោហៈ,52,42
រាគ,52,39
ឃ្លៀងឃ្លាត,52,42
កណ្ដាស់,52,37
តិច,52,42
ធីតា,52,42
កសិផល,52,30
ធ្ងន់,52,43
ស្ដាយ,52,39
ម៉ដ្ដ,52,35
ផូរផង់,52,49
បង្កើន,52,46
រាយការណ៍,52,41
ឧបទេស,52,43
ប្រែ,52,45
ជ្រងំ,52,30
សីមា,52,32
ឆព្វណ្ណរង្សី,52,40
មនុ,52,44
គ្រាប់,52,43
ប្រោះព្រំ,52,41
វៀង,52,42
លេខ,52,49
លង់,51,42
ផ្លុំ,51,41
ជូនពរ,51,38
ផ្ទំ,51,44
ទ័ល,51,43
ពិន្ទុ,51,42
សច្ចាប័ន,51,44
ឈូឆរ,51,43
គេចវេះ,51,45
បឺត,51,35
ព្រាត់,51,43
បន្លំ,51,42
ប្រថុយ,51,35
ខ្វះ,51,39
កួច,51,39
ក្រសួង,51,38
ដែន,51,45
ទំព័រ,51,41
បែក,51,43
កំប្លេ,51,38
ទ្វីប,51,40
ក្រែង,51,41
សូចនា,51,46
យល់សប្ដ,51,38
សហជីព,51,40
ផលប្រយោជន៍,51,36
អាហារូបត្ថម្ភ,51,41
ភ្លាត់,51,40
ឈឹង,51,35
ផុស,51,42
វិទ្យាល័យ,51,38
កាំបិត,51,41
ស្រដៀង,51,41
រាជធានី,51,39
វិសុទ្ធ,51,44
ឧបសម្បទា,51,43
ឈ្លប,51,48
រមៀត,51,41
មាតុប្រទេស,51,49
ជីវសាស្ត្រ,51,36
ឆ្លុះ,51,45
អន្តោប្រវេសន៍,51,38
រួញរា,51,43
រំខាន,51,38
អំនួត,51,41
ខ្ជះខ្ជាយ,51,45
ក្រឡាស់,51,33
សហសម័យ,50,41
រតនគិរី,50,40
ឥដ្ឋការ៉ូ,50,8
យីហោ,50,40
ផ្លេក,50,32
ស្ទាប,50,39
អនុប្បទាន,50,37
បុរេប្រទាន,50,43
សភា,50,41
សំរែ,50,36
សព្វនាម,50,41
ជំរិត,50,42
ឥន្ទធនូ,50,41
ផ្អាក,50,41
វិបាក,50,38
បុគ្គលិកលក្ខណៈ,50,35
ត្រៃ,50,45
ផ្ងារ,50,32
រីក,50,45
ពិតាន,50,35
និម្មាបនកម្ម,50,42
ភោជនាហារ,50,38
ឆ្មារ,50,43
ឃាតករ,50,36
ស្រោចស្រព,50,42
រឿងរ៉ាវ,50,36
សំចត,50,25
ចចេស,50,40
ធ្នឹម,50,24
សុគតិ,50,44
បំពេ,50,39
រាយ,50,43
កត់,50,38
បញ្ចាំ,50,39
តម្រង,50,42
ប៉ាន់ស្មាន,50,37
ពាហនៈ,50,41
បាវ,50,38
សោធន,50,46
មាំមួន,50,40
ទូលាយ,50,44
គំហុក,50,38
បង្អង់,50,34
ល្ខោន,50,39
អវិជ្ជមាន,50,40
ឈប់,50,44
សាវា,49,42
អាកប្ប,49,45
នាយ,49,41
គូស,49,45
ទ្រាំ,49,37
ផ្សព្វ,49,43
ភ្លើង,49,41
ក្បួន,49,44
សញ្ជឹង,49,41
លៀន,49,31
ប្រៃសណីយ៍,49,40
សំបុក,49,40
អាហារូបករណ៍,49,37
ឈ្ងោក,49,26
ទាសភាព,49,39
និរទេស,49,35
ជម្រៅ,49,43
បន្ស៊ី,49,40
សម្អាង,49,41
ឆ្វេង,49,44
ទាក់ទាញ,49,33
ជប់លៀង,49,45
ឧប្បត្តិក,49,43
ហេតុផល,49,39
ប្រមូល,49,42
អស្មិមានះ,49,37
កំណែន,49,39
ហ៊ុមព័ទ្ធ,49,40
រំពឹង,49,37
កោរ,49,33
បាបកម្ម,49,36
ភ្លឹក,49,35
ស្ដូក,49,16
ឧណ្ហ,49,39
រាវ,49,45
សង្ខេប,49,44
ត្នោត,49,32
គរុកោសល្យ,49,37
រលូន,49,45
ឃ្លាំង,49,38
អលជ្ជី,49,38
ជំនោរ,49,37
ករណីយ,49,45
សំនួន,49,42
ផ្គុំ,49,36
ចំណង់,49,45
ស្ងាត់,49,39
កន្លៀត,49,30
ព្រិច,48,31
សុមាលី,48,14
កម្មន្ត,48,31
អំណះអំណាង,48,37
ភ្ញាក់,48,41
ចង្កេះ,48,37
បណ្ណាការ,48,34
កករ,48,29
សង្កត់,48,33
បស្ចិម,48,41
ដក់,48,38
បរិត្ត,48,37
ជ្រោមជ្រែង,48,39
យាយី,48,44
ភ្នក,48,30
ញឹក,48,40
បដិមា,48,38
កំពិត,48,38
លុត,48,34
ស្ដង់,48,40
ខ្មីឃ្មាត,48,38
ទេសនា,48,41
អំបោស,48,38
ចលនា,48,40
ឧទ្ទាម,48,33
ចម្រឹង,48,37
ស្យាម,48,13
អភិលក្ខិតកាល,48,5
យន្ត,48,41
រសៀល,48,40
អំណឹះ,48,42
ពិភពលោក,48,39
ប្រណិប័តន៍,48,41
ពុក,48,37
បិតា,47,40
ក្ដៅ,47,40
ពិសី,47,39
ក្រុង,47,31
គោម,47,40
ហ្ម,47,41
ញាត់,47,38
ទិតៀន,47,34
ទន្ទេញ,47,36
ត្រួតត្រា,47,40
តម្រិះ,47,39
ទាស់,47,34
ចំណេរ,47,45
ប្ដី,47,36
កូរ,47,41
សញ្ញាណ,47,41
បុរេសកម្ម,47,40
ធ្លាប់,47,37
និយ័តករ,47,38
ដឹក,47,38
អវិជ្ជា,47,38
អ្នកប្រាជ្ញ,47,38
ជើង,47,42
គេហទំព័រ,47,36
ប្រវ័ញ្ច,47,40
ញញើត,47,36
កណា,47,37
ចំណោម,47,37
ហោប៉ៅ,47,37
កៅអី,47,37
យក្ស,47,36
សាង,47,38
អធិការកិច្ច,47,36
ញញឹម,47,37
សទ្ទានុក្រម,47,39
បង្អាប់,47,40
ចង្កឹះ,47,40
ត្រួត,47,41
កាបូប,47,39
ប្រតិទិន,47,37
អកតញ្ញូ,47,36
ផ្អើល,47,27
ផ្ដាំ,47,37
អជ្ឈាស័យ,47,40
និវត្តជន,47,29
ស្វែង,47,41
ប្រយោល,47,39
នាសា,47,36
ស្ដី,47,40
អួត,46,35
ថ្នាក់,46,44
ម៉ូតូ,46,38
នាយកដ្ឋាន,46,36
ប្រាង្គ,46,34
ម៉ាក់,46,37
ក្រវាត់,46,34
យាង,46,40
បញ្ជិកា,46,34
ជជែក,46,40
ស្រស់ស្រាយ,46,39
គហបតី,46,33
តោង,46,34
ឌុយ,46,28
ពុល,46,40
ឆ្នាំ,46,44
អំណត់,46,38
នឿយ,46,40
ផ្នូរ,46,38
បាំង,46,39
អត្ថគាហក,46,31
លំនាំ,46,37
យោង,46,33
កនិដ្ឋា,46,38
ឈាម,46,34
កូដកម្ម,46,36
ច្រឡាស,46,44
ល្បះ,46,40
គ្រវាស,46,33
អស្ថិរភាព,46,33
សុខុមាល,46,40
ឧត្តមានុវត្ត,46,43
អន្លង់,46,35
ប្រណី,46,40
ឆ្មាំ,46,31
បេះ,46,38
បន្ទូល,46,36
បរមត្ថ,46,33
ទិនានុប្បវត្តិ,46,37
ឃុបឃិត,46,40
ប្រលោះ,46,38
អម្រឹត,46,40
ខូចខាត,46,13
ផលិតកម្ម,46,41
ត្រាស់,46,38
ប្រលោមលោក,46,35
ពិណពាទ្យ,46,40
សភាវគតិ,46,34
ហង្ស,46,31
សាប៊ូ,46,41
ខួរ,46,38
បេក្ខជន,46,40
អុច,46,29
កម្លាំងចលករ,46,29
ត្រីមាស,46,23
ស៊ីវិល,46,34
កោត,46,43
ក្រឹត្យ,46,42
សុគន្ធ,46,23
ត្រណម,46,35
បារាយណ៍,46,40
ឧតុនិយម,45,40
រូបារម្មណ៍,45,38
សម្លក់,45,36
ប៊ិះ,45,37
ឧសភា,45,28
ហ៊ោ,45,31
ក្លៀវក្លា,45,31
ជវភាព,45,37
រន្ទឺ,45,36
តានតឹង,45,33
អនាមយ,45,34
ចាន,45,28
ពិឃាត,45,29
ទ្រនំ,45,36
ឩដ្ឋ,45,33
បុស្បា,45,35
កុលាប,45,38
ផាសុក,45,43
ចោត,45,38
ប្រាណ,45,39
ស្វា,45,42
ខ្សែក,45,39
អៀន,45,35
អាចម,45,44
បរិស័ទ,45,41
ញើស,45,34
វិសហមជ្ឈការ,45,37
ហិត,45,28
សិង្ហ,45,27
នារី,45,38
កិត,45,43
បះបោរ,45,38
ឆ្គង,45,40
គ្មាន,45,41
គម្រប់,45,36
បិសាច,45,33
នីតិរដ្ឋ,45,39
ពិន,45,40
ស្រុក,45,36
ការទូត,45,33
ជ្រើសរើស,45,41
សាក់,45,39
សុវិចិត្រ,45,9
ឧដុង្គ,45,22
ចែកឋាន,45,36
ចក្ខុ,45,39
អនុស្សារ,45,36
មូលបត្រ,45,35
យាម,45,38
បឋមវ័យ,45,40
ទាំងអស់,45,33
ល្ង,45,38
គំនរ,45,39
ស្វែងរក,45,36
រវល់,45,40
អបាយ,45,41
ខ្មៅ,45,34
បង្គំ,45,41
ភាជន៍,45,32
តុល្យការ,45,33
ព្រេង,45,40
សម្ពន្ធ,44,36
ត្រគាក,44,35
សណ្ឋិត,44,38
ញៀន,44,34
ទទួលទាន,44,27
យ័ន្ត,44,36
ស្ទុះ,44,38
ឧបការ,44,36
គ្រោង,44,33
រញ៉ី,44,10
អារាម,44,38
ជំទាស់,44,35
ឫស្យា,44,30
ពេក,44,34
រូបិយវត្ថុ,44,36
សិល្ប៍,44,39
តាមរយៈ,44,34
ថេរវាទ,44,27
ល្ងាច,44,32
អពមង្គល,44,37
គំនាប់,44,34
ពានា,44,37
សងខាង,44,35
អាម៉ាស់,44,36
ត្រាប់,44,39
ទារក,44,35
ប្ដឹង,44,34
ពាស,44,36
ផឹក,44,39
លោហៈ,44,35
សត្ត,44,30
ដេរដាស,44,38
យក្សា,44,9
បដិសេធន៍,44,34
រាយប៉ាយ,44,37
ពលករ,44,35
វាក្យ,44,42
សលាកបត្រ,44,30
ព្រឺ,44,34
ស្នាម,44,39
គំហើញ,44,30
សោយ,44,39
បួស,44,38
វឹកវរ,44,35
បាយសី,44,37
អម្បាញ់មិញ,44,29
ស្រអាប់,44,27
ខ្លឹម,44,36
ទិវង្គត,44,37
ងាយ,44,35
សុចិ,44,7
ត្រដរ,44,35
ប្រច័ណ្ឌ,44,34
ចោរកម្ម,44,42
សន្តតិជន,44,34
របរ,44,36
ទង្គិច,44,35
ទំហំ,44,33
ពេលា,44,37
ទឹកចិត្ត,44,31
ឋានសួគ៌,44,33
ប៉ិកួៈ,44,34
ឆ្លង,44,38
បន្លែ,44,37
ទំហឹង,44,33
លំនឹង,44,38
កែច្នៃ,44,43
ទូក,44,34
រន្ថាន់,44,34
យថាភាព,44,11
កសិឧស្សាហកម្ម,44,31
ឈ្វេង,44,41
កាម,44,40
អវត្តមាន,44,36
ចំហុយ,44,38
ជំនួប,44,33
ខាត,43,34
បរិបថ,43,38
ស្ថិរ,43,32
បរោហិត,43,36
វេរ,43,38
កម្ទេចកម្ទី,43,32
ចោទ,43,38
វិថី,43,35
ម្ជុល,43,26
ក្រមសីលធម៌,43,37
ខ្មួលខ្មាញ់,43,36
សាកលវិទ្យាល័យ,43,36
ស៊ក,43,33
ញ៉ែ,43,35
ជន្មាយុ,43,35
ពុំ,43,39
កោដិ,43,31
ប្រតិបត្តិករ,43,34
ធានី,43,21
ខ្វល់ខ្វាយ,43,40
ហុយ,43,34
សវនករ,43,33
មហាសង្ក្រាន្ត,43,31
ចំណាំ,43,39
ខ្នើត,43,36
សារធាតុ,43,38
